Author,Title,Year,Country of study,Native/Invasive,Mosquito stage reclassification,Insecticide reclassification,Mortality Rate,Origin
"Mushtaq Ahmad, Cyril Buhler, Patricia Pignatelli, Hilary Ranson, Sami Mohammad Nahzat, Mohammad Naseem, Muhammad Farooq Sabawoon, Abdul Majeed Siddiqi & Martijn Vink",Status of insecticide resistance in high-risk malaria provinces in Afghanistan,2016,Afghanistan (Nangarhar),Native,Adult,Pyrethroid,91,n
"Mushtaq Ahmad, Cyril Buhler, Patricia Pignatelli, Hilary Ranson, Sami Mohammad Nahzat, Mohammad Naseem, Muhammad Farooq Sabawoon, Abdul Majeed Siddiqi & Martijn Vink",Status of insecticide resistance in high-risk malaria provinces in Afghanistan,2016,Afghanistan (Nangarhar),Native,Adult,Pyrethroid,66,n
"Mushtaq Ahmad, Cyril Buhler, Patricia Pignatelli, Hilary Ranson, Sami Mohammad Nahzat, Mohammad Naseem, Muhammad Farooq Sabawoon, Abdul Majeed Siddiqi & Martijn Vink",Status of insecticide resistance in high-risk malaria provinces in Afghanistan,2016,Afghanistan (Ghazni),Native,Adult,Organochlorine,31,n
"Mushtaq Ahmad, Cyril Buhler, Patricia Pignatelli, Hilary Ranson, Sami Mohammad Nahzat, Mohammad Naseem, Muhammad Farooq Sabawoon, Abdul Majeed Siddiqi & Martijn Vink",Status of insecticide resistance in high-risk malaria provinces in Afghanistan,2016,Afghanistan (Ghazni),Native,Adult,Organophosphate,47,n
"Mushtaq Ahmad, Cyril Buhler, Patricia Pignatelli, Hilary Ranson, Sami Mohammad Nahzat, Mohammad Naseem, Muhammad Farooq Sabawoon, Abdul Majeed Siddiqi & Martijn Vink",Status of insecticide resistance in high-risk malaria provinces in Afghanistan,2016,Afghanistan (Ghazni),Native,Adult,Carbamate,87,n
"Mushtaq Ahmad, Cyril Buhler, Patricia Pignatelli, Hilary Ranson, Sami Mohammad Nahzat, Mohammad Naseem, Muhammad Farooq Sabawoon, Abdul Majeed Siddiqi & Martijn Vink",Status of insecticide resistance in high-risk malaria provinces in Afghanistan,2016,Afghanistan (Ghazni),Native,Adult,Pyrethroid,91,n
"Mushtaq Ahmad, Cyril Buhler, Patricia Pignatelli, Hilary Ranson, Sami Mohammad Nahzat, Mohammad Naseem, Muhammad Farooq Sabawoon, Abdul Majeed Siddiqi & Martijn Vink",Status of insecticide resistance in high-risk malaria provinces in Afghanistan,2016,Afghanistan (Ghazni),Native,Adult,Pyrethroid,69,n
"Mushtaq Ahmad, Cyril Buhler, Patricia Pignatelli, Hilary Ranson, Sami Mohammad Nahzat, Mohammad Naseem, Muhammad Farooq Sabawoon, Abdul Majeed Siddiqi & Martijn Vink",Status of insecticide resistance in high-risk malaria provinces in Afghanistan,2016,Afghanistan (Kunar),Native,Adult,Organochlorine,46,n
"Mushtaq Ahmad, Cyril Buhler, Patricia Pignatelli, Hilary Ranson, Sami Mohammad Nahzat, Mohammad Naseem, Muhammad Farooq Sabawoon, Abdul Majeed Siddiqi & Martijn Vink",Status of insecticide resistance in high-risk malaria provinces in Afghanistan,2016,Afghanistan (Kunar),Native,Adult,Organophosphate,61,n
"Mushtaq Ahmad, Cyril Buhler, Patricia Pignatelli, Hilary Ranson, Sami Mohammad Nahzat, Mohammad Naseem, Muhammad Farooq Sabawoon, Abdul Majeed Siddiqi & Martijn Vink",Status of insecticide resistance in high-risk malaria provinces in Afghanistan,2016,Afghanistan (Kunar),Native,Adult,Carbamate,94,n
"Mushtaq Ahmad, Cyril Buhler, Patricia Pignatelli, Hilary Ranson, Sami Mohammad Nahzat, Mohammad Naseem, Muhammad Farooq Sabawoon, Abdul Majeed Siddiqi & Martijn Vink",Status of insecticide resistance in high-risk malaria provinces in Afghanistan,2016,Afghanistan (Kunar),Native,Adult,Pyrethroid,87,n
"Mushtaq Ahmad, Cyril Buhler, Patricia Pignatelli, Hilary Ranson, Sami Mohammad Nahzat, Mohammad Naseem, Muhammad Farooq Sabawoon, Abdul Majeed Siddiqi & Martijn Vink",Status of insecticide resistance in high-risk malaria provinces in Afghanistan,2016,Afghanistan (Kunar),Native,Adult,Pyrethroid,78,n
"Mushtaq Ahmad, Cyril Buhler, Patricia Pignatelli, Hilary Ranson, Sami Mohammad Nahzat, Mohammad Naseem, Muhammad Farooq Sabawoon, Abdul Majeed Siddiqi & Martijn Vink",Status of insecticide resistance in high-risk malaria provinces in Afghanistan,2016,Afghanistan (Badakhshan),Native,Adult,Organochlorine,100,n
"Mushtaq Ahmad, Cyril Buhler, Patricia Pignatelli, Hilary Ranson, Sami Mohammad Nahzat, Mohammad Naseem, Muhammad Farooq Sabawoon, Abdul Majeed Siddiqi & Martijn Vink",Status of insecticide resistance in high-risk malaria provinces in Afghanistan,2016,Afghanistan (Badakhshan),Native,Adult,Organophosphate,100,n
"Mushtaq Ahmad, Cyril Buhler, Patricia Pignatelli, Hilary Ranson, Sami Mohammad Nahzat, Mohammad Naseem, Muhammad Farooq Sabawoon, Abdul Majeed Siddiqi & Martijn Vink",Status of insecticide resistance in high-risk malaria provinces in Afghanistan,2016,Afghanistan (Badakhshan),Native,Adult,Carbamate,92,n
"Mushtaq Ahmad, Cyril Buhler, Patricia Pignatelli, Hilary Ranson, Sami Mohammad Nahzat, Mohammad Naseem, Muhammad Farooq Sabawoon, Abdul Majeed Siddiqi & Martijn Vink",Status of insecticide resistance in high-risk malaria provinces in Afghanistan,2016,Afghanistan (Badakhshan),Native,Adult,Pyrethroid,100,n
"Mushtaq Ahmad, Cyril Buhler, Patricia Pignatelli, Hilary Ranson, Sami Mohammad Nahzat, Mohammad Naseem, Muhammad Farooq Sabawoon, Abdul Majeed Siddiqi & Martijn Vink",Status of insecticide resistance in high-risk malaria provinces in Afghanistan,2016,Afghanistan (Badakhshan),Native,Adult,Pyrethroid,85,n
"Mushtaq Ahmad, Cyril Buhler, Patricia Pignatelli, Hilary Ranson, Sami Mohammad Nahzat, Mohammad Naseem, Muhammad Farooq Sabawoon, Abdul Majeed Siddiqi & Martijn Vink",Status of insecticide resistance in high-risk malaria provinces in Afghanistan,2016,Afghanistan (Laghman),Native,Adult,Organochlorine,81,n
"Mushtaq Ahmad, Cyril Buhler, Patricia Pignatelli, Hilary Ranson, Sami Mohammad Nahzat, Mohammad Naseem, Muhammad Farooq Sabawoon, Abdul Majeed Siddiqi & Martijn Vink",Status of insecticide resistance in high-risk malaria provinces in Afghanistan,2016,Afghanistan (Laghman),Native,Adult,Organophosphate,95,n
"Mushtaq Ahmad, Cyril Buhler, Patricia Pignatelli, Hilary Ranson, Sami Mohammad Nahzat, Mohammad Naseem, Muhammad Farooq Sabawoon, Abdul Majeed Siddiqi & Martijn Vink",Status of insecticide resistance in high-risk malaria provinces in Afghanistan,2016,Afghanistan (Laghman),Native,Adult,Carbamate,100,n
"Mushtaq Ahmad, Cyril Buhler, Patricia Pignatelli, Hilary Ranson, Sami Mohammad Nahzat, Mohammad Naseem, Muhammad Farooq Sabawoon, Abdul Majeed Siddiqi & Martijn Vink",Status of insecticide resistance in high-risk malaria provinces in Afghanistan,2016,Afghanistan (Laghman),Native,Adult,Pyrethroid,89,n
"Mushtaq Ahmad, Cyril Buhler, Patricia Pignatelli, Hilary Ranson, Sami Mohammad Nahzat, Mohammad Naseem, Muhammad Farooq Sabawoon, Abdul Majeed Siddiqi & Martijn Vink",Status of insecticide resistance in high-risk malaria provinces in Afghanistan,2016,Afghanistan (Laghman),Native,Adult,Pyrethroid,64,n
"Meshesha Balkew, Peter Mumba, Gedeon Yohannes, Ephrem Abiy, Dejene Getachew, Solomon Yared, Amha Worku, Araya Gebresilassie, Fitsum G. Tadesse, Endalamaw Gadisa, Endashaw Esayas, Temesgen Ashine, Desta Ejeta, Sisay Dugassa, Mekonnen Yohannes, Wossenseged Lemma, Delenasaw Yewhalaw, Sheleme Chibsa, Hiwot Teka, Matt Murphy, Melissa Yoshimizu, Dereje Dengela, Sarah Zohdy & Seth Irish","An update on the distribution, bionomics, and insecticide susceptibility of Anopheles stephensi in Ethiopia, 2018–2020",2021,Ethiopia (Dire Dawa),Invasive,Adult,Pyrethroid,79,i
"Meshesha Balkew, Peter Mumba, Gedeon Yohannes, Ephrem Abiy, Dejene Getachew, Solomon Yared, Amha Worku, Araya Gebresilassie, Fitsum G. Tadesse, Endalamaw Gadisa, Endashaw Esayas, Temesgen Ashine, Desta Ejeta, Sisay Dugassa, Mekonnen Yohannes, Wossenseged Lemma, Delenasaw Yewhalaw, Sheleme Chibsa, Hiwot Teka, Matt Murphy, Melissa Yoshimizu, Dereje Dengela, Sarah Zohdy & Seth Irish","An update on the distribution, bionomics, and insecticide susceptibility of Anopheles stephensi in Ethiopia, 2018–2020",2021,Ethiopia (Dire Dawa),Invasive,Adult,Pyrethroid,54,i
"Meshesha Balkew, Peter Mumba, Gedeon Yohannes, Ephrem Abiy, Dejene Getachew, Solomon Yared, Amha Worku, Araya Gebresilassie, Fitsum G. Tadesse, Endalamaw Gadisa, Endashaw Esayas, Temesgen Ashine, Desta Ejeta, Sisay Dugassa, Mekonnen Yohannes, Wossenseged Lemma, Delenasaw Yewhalaw, Sheleme Chibsa, Hiwot Teka, Matt Murphy, Melissa Yoshimizu, Dereje Dengela, Sarah Zohdy & Seth Irish","An update on the distribution, bionomics, and insecticide susceptibility of Anopheles stephensi in Ethiopia, 2018–2020",2021,Ethiopia (Dire Dawa),Invasive,Adult,Pyrethroid,82,i
"Meshesha Balkew, Peter Mumba, Gedeon Yohannes, Ephrem Abiy, Dejene Getachew, Solomon Yared, Amha Worku, Araya Gebresilassie, Fitsum G. Tadesse, Endalamaw Gadisa, Endashaw Esayas, Temesgen Ashine, Desta Ejeta, Sisay Dugassa, Mekonnen Yohannes, Wossenseged Lemma, Delenasaw Yewhalaw, Sheleme Chibsa, Hiwot Teka, Matt Murphy, Melissa Yoshimizu, Dereje Dengela, Sarah Zohdy & Seth Irish","An update on the distribution, bionomics, and insecticide susceptibility of Anopheles stephensi in Ethiopia, 2018–2020",2021,Ethiopia (Dire Dawa),Invasive,Adult,Carbamate,19,i
"Meshesha Balkew, Peter Mumba, Gedeon Yohannes, Ephrem Abiy, Dejene Getachew, Solomon Yared, Amha Worku, Araya Gebresilassie, Fitsum G. Tadesse, Endalamaw Gadisa, Endashaw Esayas, Temesgen Ashine, Desta Ejeta, Sisay Dugassa, Mekonnen Yohannes, Wossenseged Lemma, Delenasaw Yewhalaw, Sheleme Chibsa, Hiwot Teka, Matt Murphy, Melissa Yoshimizu, Dereje Dengela, Sarah Zohdy & Seth Irish","An update on the distribution, bionomics, and insecticide susceptibility of Anopheles stephensi in Ethiopia, 2018–2020",2021,Ethiopia (Dire Dawa),Invasive,Adult,Carbamate,77,i
"Meshesha Balkew, Peter Mumba, Gedeon Yohannes, Ephrem Abiy, Dejene Getachew, Solomon Yared, Amha Worku, Araya Gebresilassie, Fitsum G. Tadesse, Endalamaw Gadisa, Endashaw Esayas, Temesgen Ashine, Desta Ejeta, Sisay Dugassa, Mekonnen Yohannes, Wossenseged Lemma, Delenasaw Yewhalaw, Sheleme Chibsa, Hiwot Teka, Matt Murphy, Melissa Yoshimizu, Dereje Dengela, Sarah Zohdy & Seth Irish","An update on the distribution, bionomics, and insecticide susceptibility of Anopheles stephensi in Ethiopia, 2018–2020",2021,Ethiopia (Dire Dawa),Invasive,Adult,Organophosphate,100,i
"Meshesha Balkew, Peter Mumba, Gedeon Yohannes, Ephrem Abiy, Dejene Getachew, Solomon Yared, Amha Worku, Araya Gebresilassie, Fitsum G. Tadesse, Endalamaw Gadisa, Endashaw Esayas, Temesgen Ashine, Desta Ejeta, Sisay Dugassa, Mekonnen Yohannes, Wossenseged Lemma, Delenasaw Yewhalaw, Sheleme Chibsa, Hiwot Teka, Matt Murphy, Melissa Yoshimizu, Dereje Dengela, Sarah Zohdy & Seth Irish","An update on the distribution, bionomics, and insecticide susceptibility of Anopheles stephensi in Ethiopia, 2018–2020",2021,Ethiopia (Kebridehar),Invasive,Adult,Pyrethroid,78,i
"Meshesha Balkew, Peter Mumba, Gedeon Yohannes, Ephrem Abiy, Dejene Getachew, Solomon Yared, Amha Worku, Araya Gebresilassie, Fitsum G. Tadesse, Endalamaw Gadisa, Endashaw Esayas, Temesgen Ashine, Desta Ejeta, Sisay Dugassa, Mekonnen Yohannes, Wossenseged Lemma, Delenasaw Yewhalaw, Sheleme Chibsa, Hiwot Teka, Matt Murphy, Melissa Yoshimizu, Dereje Dengela, Sarah Zohdy & Seth Irish","An update on the distribution, bionomics, and insecticide susceptibility of Anopheles stephensi in Ethiopia, 2018–2020",2021,Ethiopia (Kebridehar),Invasive,Adult,Pyrethroid,80,i
"Meshesha Balkew, Peter Mumba, Gedeon Yohannes, Ephrem Abiy, Dejene Getachew, Solomon Yared, Amha Worku, Araya Gebresilassie, Fitsum G. Tadesse, Endalamaw Gadisa, Endashaw Esayas, Temesgen Ashine, Desta Ejeta, Sisay Dugassa, Mekonnen Yohannes, Wossenseged Lemma, Delenasaw Yewhalaw, Sheleme Chibsa, Hiwot Teka, Matt Murphy, Melissa Yoshimizu, Dereje Dengela, Sarah Zohdy & Seth Irish","An update on the distribution, bionomics, and insecticide susceptibility of Anopheles stephensi in Ethiopia, 2018–2021",2021,Ethiopia (Kebridehar),Invasive,Adult,Pyrethroid,80,i
"Meshesha Balkew, Peter Mumba, Gedeon Yohannes, Ephrem Abiy, Dejene Getachew, Solomon Yared, Amha Worku, Araya Gebresilassie, Fitsum G. Tadesse, Endalamaw Gadisa, Endashaw Esayas, Temesgen Ashine, Desta Ejeta, Sisay Dugassa, Mekonnen Yohannes, Wossenseged Lemma, Delenasaw Yewhalaw, Sheleme Chibsa, Hiwot Teka, Matt Murphy, Melissa Yoshimizu, Dereje Dengela, Sarah Zohdy & Seth Irish","An update on the distribution, bionomics, and insecticide susceptibility of Anopheles stephensi in Ethiopia, 2018–2020",2021,Ethiopia (Kebridehar),Invasive,Adult,Carbamate,73,i
"Meshesha Balkew, Peter Mumba, Gedeon Yohannes, Ephrem Abiy, Dejene Getachew, Solomon Yared, Amha Worku, Araya Gebresilassie, Fitsum G. Tadesse, Endalamaw Gadisa, Endashaw Esayas, Temesgen Ashine, Desta Ejeta, Sisay Dugassa, Mekonnen Yohannes, Wossenseged Lemma, Delenasaw Yewhalaw, Sheleme Chibsa, Hiwot Teka, Matt Murphy, Melissa Yoshimizu, Dereje Dengela, Sarah Zohdy & Seth Irish","An update on the distribution, bionomics, and insecticide susceptibility of Anopheles stephensi in Ethiopia, 2018–2020",2021,Ethiopia (Kebridehar),Invasive,Adult,Carbamate,68,i
"Meshesha Balkew, Peter Mumba, Gedeon Yohannes, Ephrem Abiy, Dejene Getachew, Solomon Yared, Amha Worku, Araya Gebresilassie, Fitsum G. Tadesse, Endalamaw Gadisa, Endashaw Esayas, Temesgen Ashine, Desta Ejeta, Sisay Dugassa, Mekonnen Yohannes, Wossenseged Lemma, Delenasaw Yewhalaw, Sheleme Chibsa, Hiwot Teka, Matt Murphy, Melissa Yoshimizu, Dereje Dengela, Sarah Zohdy & Seth Irish","An update on the distribution, bionomics, and insecticide susceptibility of Anopheles stephensi in Ethiopia, 2018–2020",2021,Ethiopia (Kebridehar),Invasive,Adult,Organophosphate,100,i
"Meshesha Balkew, Peter Mumba, Gedeon Yohannes, Ephrem Abiy, Dejene Getachew, Solomon Yared, Amha Worku, Araya Gebresilassie, Fitsum G. Tadesse, Endalamaw Gadisa, Endashaw Esayas, Temesgen Ashine, Desta Ejeta, Sisay Dugassa, Mekonnen Yohannes, Wossenseged Lemma, Delenasaw Yewhalaw, Sheleme Chibsa, Hiwot Teka, Matt Murphy, Melissa Yoshimizu, Dereje Dengela, Sarah Zohdy & Seth Irish","An update on the distribution, bionomics, and insecticide susceptibility of Anopheles stephensi in Ethiopia, 2018–2020",2021,Ethiopia (Kebridehar),Invasive,Adult,Pyrethroid,69,i
"Meshesha Balkew, Peter Mumba, Gedeon Yohannes, Ephrem Abiy, Dejene Getachew, Solomon Yared, Amha Worku, Araya Gebresilassie, Fitsum G. Tadesse, Endalamaw Gadisa, Endashaw Esayas, Temesgen Ashine, Desta Ejeta, Sisay Dugassa, Mekonnen Yohannes, Wossenseged Lemma, Delenasaw Yewhalaw, Sheleme Chibsa, Hiwot Teka, Matt Murphy, Melissa Yoshimizu, Dereje Dengela, Sarah Zohdy & Seth Irish","An update on the distribution, bionomics, and insecticide susceptibility of Anopheles stephensi in Ethiopia, 2018–2020",2021,Ethiopia (Kebridehar),Invasive,Adult,Pyrethroid,49,i
"Meshesha Balkew, Peter Mumba, Gedeon Yohannes, Ephrem Abiy, Dejene Getachew, Solomon Yared, Amha Worku, Araya Gebresilassie, Fitsum G. Tadesse, Endalamaw Gadisa, Endashaw Esayas, Temesgen Ashine, Desta Ejeta, Sisay Dugassa, Mekonnen Yohannes, Wossenseged Lemma, Delenasaw Yewhalaw, Sheleme Chibsa, Hiwot Teka, Matt Murphy, Melissa Yoshimizu, Dereje Dengela, Sarah Zohdy & Seth Irish","An update on the distribution, bionomics, and insecticide susceptibility of Anopheles stephensi in Ethiopia, 2018–2020",2021,Ethiopia (Dire Dawa),Invasive,Adult,Pyrethroid,86,i
"Meshesha Balkew, Peter Mumba, Gedeon Yohannes, Ephrem Abiy, Dejene Getachew, Solomon Yared, Amha Worku, Araya Gebresilassie, Fitsum G. Tadesse, Endalamaw Gadisa, Endashaw Esayas, Temesgen Ashine, Desta Ejeta, Sisay Dugassa, Mekonnen Yohannes, Wossenseged Lemma, Delenasaw Yewhalaw, Sheleme Chibsa, Hiwot Teka, Matt Murphy, Melissa Yoshimizu, Dereje Dengela, Sarah Zohdy & Seth Irish","An update on the distribution, bionomics, and insecticide susceptibility of Anopheles stephensi in Ethiopia, 2018–2020",2021,Ethiopia (Dire Dawa),Invasive,Adult,Pyrethroid,64,i
"Meshesha Balkew, Peter Mumba, Gedeon Yohannes, Ephrem Abiy, Dejene Getachew, Solomon Yared, Amha Worku, Araya Gebresilassie, Fitsum G. Tadesse, Endalamaw Gadisa, Endashaw Esayas, Temesgen Ashine, Desta Ejeta, Sisay Dugassa, Mekonnen Yohannes, Wossenseged Lemma, Delenasaw Yewhalaw, Sheleme Chibsa, Hiwot Teka, Matt Murphy, Melissa Yoshimizu, Dereje Dengela, Sarah Zohdy & Seth Irish","An update on the distribution, bionomics, and insecticide susceptibility of Anopheles stephensi in Ethiopia, 2018–2020",2021,Ethiopia (Dire Dawa),Invasive,Adult,Pyrethroid,30,i
